entry,name,namespace,size,external,thunk,decompile_status
"00404780","thunk_FUN_015649e0","Global",5,false,true,"ok"
"00404785","FUN_00404785","Global",11,false,false,"ok"
"00404790","thunk_FUN_00439236","Global",11,false,true,"ok"
"0040479b","FUN_0040479b","Global",11,false,false,"ok"
"004047b0","thunk_FUN_01569770","Global",5,false,true,"ok"
"00404870","thunk_FUN_0156de60","Global",5,false,true,"ok"
"00404875","FUN_00404875","Global",11,false,false,"ok"
"00404880","FUN_00404880","Global",11,false,false,"ok"
"004048e0","FUN_004048e0","Global",36,false,false,"ok"
"004048ff","FUN_004048ff","Global",5,false,false,"ok"
"00404910","FUN_00404910","Global",41,false,false,"ok"
"004049c0","FUN_004049c0","Global",54,false,false,"ok"
"00404a1e","FUN_00404a1e","Global",13,false,false,"ok"
"00404ac0","FUN_00404ac0","Global",88,false,false,"ok"
"00404b20","FUN_00404b20","Global",326,false,false,"ok"
"00404c90","thunk_FUN_01563730","Global",5,false,true,"ok"
"00404c95","FUN_00404c95","Global",11,false,false,"ok"
"00404ca0","FUN_00404ca0","Global",12,false,false,"ok"
"00404cac","FUN_00404cac","Global",11,false,false,"ok"
"00404cb7","FUN_00404cb7","Global",27,false,false,"ok"
"00404cd2","FUN_00404cd2","Global",10,false,false,"ok"
"00404cdc","FUN_00404cdc","Global",23,false,false,"ok"
"00404cf3","FUN_00404cf3","Global",10,false,false,"ok"
"00404cfd","FUN_00404cfd","Global",12,false,false,"ok"
"00404d09","FUN_00404d09","Global",21,false,false,"ok"
